Plant,Type,Treatment,conc,uptake
Qn1,Quebec,nonchilled,95,16
Qn1,Quebec,nonchilled,175,30.4
Qn1,Quebec,nonchilled,250,34.8
Qn1,Quebec,nonchilled,350,37.2
Qn1,Quebec,nonchilled,500,35.3
Qn1,Quebec,nonchilled,675,39.2
Qn1,Quebec,nonchilled,1000,39.7
Qn2,Quebec,nonchilled,95,13.6
Qn2,Quebec,nonchilled,175,27.3
Qn2,Quebec,nonchilled,250,37.1
Qn2,Quebec,nonchilled,350,41.8
Qn2,Quebec,nonchilled,500,40.6
Qn2,Quebec,nonchilled,675,41.4
Qn2,Quebec,nonchilled,1000,44.3
Qn3,Quebec,nonchilled,95,16.2
Qn3,Quebec,nonchilled,175,32.4
Qn3,Quebec,nonchilled,250,40.3
Qn3,Quebec,nonchilled,350,42.1
Qn3,Quebec,nonchilled,500,42.9
Qn3,Quebec,nonchilled,675,43.9
Qn3,Quebec,nonchilled,1000,45.5
Mn1,Mississippi,nonchilled,95,10.6
Mn1,Mississippi,nonchilled,175,19.2
Mn1,Mississippi,nonchilled,250,26.2
Mn1,Mississippi,nonchilled,350,30
Mn1,Mississippi,nonchilled,500,30.9
Mn1,Mississippi,nonchilled,675,32.4
Mn1,Mississippi,nonchilled,1000,35.5
Mn2,Mississippi,nonchilled,95,12
Mn2,Mississippi,nonchilled,175,22
Mn2,Mississippi,nonchilled,250,30.6
Mn2,Mississippi,nonchilled,350,31.8
Mn2,Mississippi,nonchilled,500,32.4
Mn2,Mississippi,nonchilled,675,31.1
Mn2,Mississippi,nonchilled,1000,31.5
Mn3,Mississippi,nonchilled,95,11.3
Mn3,Mississippi,nonchilled,175,19.4
Mn3,Mississippi,nonchilled,250,25.8
Mn3,Mississippi,nonchilled,350,27.9
Mn3,Mississippi,nonchilled,500,28.5
Mn3,Mississippi,nonchilled,675,28.1
Mn3,Mississippi,nonchilled,1000,27.8
